,Source,Dest,Shortest path length,Cutoff length,Not-too-long paths,Efficient paths,Likelihood < 50,Likelihood < 34,Likelihood < 25
322,6,12,4,4,14,14,13,11,11
323,6,14,2,2,1,1,1,0,0
324,6,15,3,3,1,1,0,0,0
325,6,16,2,2,3,3,3,2,2
326,6,17,5,5,67,67,62,56,56
327,6,18,2,2,1,1,1,0,0
328,6,19,4,4,12,12,11,8,8
329,6,20,4,4,4,4,3,2,2
330,6,22,1,1,1,1,1,1,1
331,6,23,2,2,5,5,5,4,4
332,6,24,6,6,73,73,67,58,34
333,6,26,3,3,1,1,0,0,0
334,6,27,1,1,1,1,1,1,1
335,6,28,5,5,4,4,2,1,1
336,6,30,1,1,1,1,1,1,1
337,6,31,7,7,67,67,56,34,0
338,6,32,4,4,4,4,3,2,2
339,6,33,1,1,1,1,1,1,1
340,6,34,1,1,1,1,1,1,1
341,6,35,2,2,1,1,1,0,0
342,6,36,5,5,9,9,5,3,3
343,6,38,3,3,8,8,7,7,4
344,6,39,2,2,3,3,3,2,2
345,6,40,4,4,6,6,5,2,2
346,6,41,4,4,9,9,8,5,5
347,6,42,2,2,6,6,6,5,5
348,6,43,6,6,4,4,2,1,0
349,6,44,3,3,1,1,0,0,0
350,6,45,1,1,1,1,1,1,1
351,6,46,3,3,4,4,3,3,1
352,6,48,4,4,22,22,21,19,19
353,6,50,3,3,3,3,2,2,0
354,6,51,3,3,7,7,6,6,3
355,6,52,2,2,2,2,2,1,1
356,6,55,4,4,12,12,11,8,8
357,6,56,1,1,1,1,1,1,1
358,6,57,2,2,1,1,1,0,0
359,6,58,6,6,67,67,62,56,34
360,6,59,5,5,22,22,19,13,13
361,6,60,3,3,4,4,3,3,1
362,6,62,1,1,1,1,1,1,1
363,6,63,4,4,13,13,12,8,8
364,6,64,8,8,274,274,252,126,126
365,6,65,3,3,4,4,3,3,2
366,6,66,2,2,2,2,2,1,1
367,6,67,4,4,5,5,4,2,2
368,6,68,3,3,9,9,8,8,5
369,6,69,2,2,4,4,4,3,3
370,6,70,2,2,3,3,3,2,2
371,6,71,1,1,1,1,1,1,1
372,6,72,1,1,1,1,1,1,1
373,6,73,4,4,12,12,11,8,8
374,6,74,3,3,3,3,2,2,1
375,6,75,3,3,4,4,3,3,2
376,6,77,3,3,10,10,9,9,6
377,6,78,4,4,28,28,27,25,25
378,6,79,6,6,14,14,11,6,0
379,6,80,1,1,1,1,1,1,1
380,6,81,3,3,3,3,2,2,1
381,6,82,8,8,274,274,252,126,126
382,6,83,5,5,5,5,2,0,0
383,6,84,2,2,2,2,2,1,1
384,6,87,2,2,4,4,4,3,3
385,6,88,6,6,140,140,134,123,92
386,6,89,6,6,67,67,62,56,34
387,6,90,1,1,1,1,1,1,1
388,6,91,7,7,274,274,252,213,126
389,6,93,2,2,1,1,1,0,0
390,6,94,4,4,5,5,4,2,2
391,6,95,5,5,14,14,11,6,6
392,6,96,5,5,4,4,2,1,1
393,6,97,2,2,6,6,6,5,5
394,6,98,5,5,73,73,67,58,58
395,7,8,4,4,5,5,4,2,2
396,7,9,2,2,1,1,1,0,0
397,7,11,3,3,5,5,4,4,2
398,7,12,3,3,1,1,0,0,0
399,7,14,4,4,4,4,3,1,1
400,7,15,5,5,5,5,3,0,0
401,7,16,3,3,2,2,1,1,0
402,7,17,3,3,1,1,0,0,0
403,7,18,4,4,5,5,4,3,3
404,7,19,1,1,1,1,1,1,1
405,7,20,6,6,28,28,25,20,14
406,7,22,4,4,17,17,16,12,12
407,7,23,2,2,1,1,1,0,0
408,7,24,4,4,1,1,0,0,0
409,7,26,5,5,2,2,0,0,0
410,7,27,3,3,2,2,1,1,0
411,7,28,7,7,28,28,20,14,4
412,7,30,2,2,1,1,1,0,0
413,7,31,5,5,1,1,0,0,0
414,7,32,4,4,2,2,1,0,0
415,7,33,2,2,1,1,1,0,0
416,7,34,3,3,1,1,0,0,0
417,7,35,4,4,2,2,1,0,0
418,7,36,4,4,3,3,2,1,1
419,7,38,3,3,1,1,0,0,0
420,7,39,1,1,1,1,1,1,1
421,7,40,4,4,15,15,14,11,11
422,7,41,3,3,3,3,2,2,1
423,7,42,2,2,2,2,2,1,1
424,7,43,8,8,28,28,20,4,4
425,7,44,4,4,6,6,5,4,4
426,7,45,3,3,1,1,0,0,0
427,7,46,3,3,2,2,1,1,0
428,7,48,3,3,3,3,2,2,1
429,7,50,2,2,2,2,2,1,1
430,7,51,1,1,1,1,1,1,1
431,7,52,4,4,18,18,17,14,14
432,7,55,1,1,1,1,1,1,1
433,7,56,3,3,2,2,1,1,1
434,7,57,2,2,1,1,1,0,0
435,7,58,4,4,1,1,0,0,0
436,7,59,4,4,4,4,3,2,2
437,7,60,3,3,3,3,2,2,1
438,7,62,2,2,1,1,1,0,0
439,7,63,3,3,2,2,1,1,0
440,7,64,6,6,4,4,1,0,0
441,7,65,3,3,3,3,2,2,0
442,7,66,1,1,1,1,1,1,1
443,7,67,1,1,1,1,1,1,1
444,7,68,2,2,2,2,2,1,1
445,7,69,3,3,9,9,8,8,4
446,7,70,2,2,1,1,1,0,0
